courseId,courseTitle,subTitle,courseLink,courseProvider,unitSold,soldOrEnq,offerPrice,originalPrice,haveCpd,cpdAccreditedBy,othersAsCpd,haveProfQual,isRegulated,awrBodyName,awrBodyQualName,courseLevel
266960,Project Manager Certification -  CPD Accredited,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/project-manager-certification-cpd-accredited/266960#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,1,1 student purchased this course,10.0,175.0,yes,CPD Accretion Group,CPD Accretion Group,no,no,missing,8 CPD points / hours,missing
267113,Counselling and Psychology - CPD Accredited,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/counselling-and-psychology-cpd-accredited/267113#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,1,1 student purchased this course,15.0,175.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,2 CPD points / hours,missing
267213,Child Psychology and Counselling - CPD Accredited,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/child-psychology-and-counselling-cpd-accredited/267213#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,3,3 students purchased this course,12.0,175.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,10 CPD points / hours,missing
267229,Working With The Young People - CPD Accredited,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/working-with-the-young-people-cpd-accredited/267229#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,8,8 students purchased this course,12.0,175.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,5 CPD points / hours,missing
267231,Youth Support Worker - CPD Accredited,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/youth-support-worker-cpd-accredited/267231#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,3,3 students purchased this course,14.0,175.0,yes,CPD Accreditation Group,CPD Accreditation Group,no,no,missing,5 CPD points / hours,missing
268405,Digital Marketing Advanced Diploma + Content Marketing Course,Get 2 Certification in 1 Course. Professional Certificate Endorsed by ABC Awards + CPD Certificate. Tutor Support,https://www.reed.co.uk/courses/digital-marketing-advanced-diploma--content-marketing-course/268405#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,3,3 students purchased this course,19.0,300.0,yes,missing,ABC Awards,yes,no,ABC Awards,Level 5 Diploma Digital Marketing (Certificate of Achievement),5.0
269358,Child Psychology,ABC Awards Endorsed Certificate I MCQ based assessment I Tutor Support,https://www.reed.co.uk/courses/child-psychology/269358#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,2,2 students purchased this course,10.0,300.0,no,missing,missing,yes,no,ABC Awards,Level 5 Diploma Child Psychology (Certificate of Achievement),5.0
269793,Safeguarding Children Level 3,Safeguarding Children Level 3 Course Endorsed by ABC Awards I Exam Included I MCQ based assessment I Tutor Support,https://www.reed.co.uk/courses/safeguarding-children-level-3/269793#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,2,2 students purchased this course,19.0,300.0,no,missing,missing,yes,no,ABC Awards,Level 3 Diploma Safeguarding Children (Certificate of Achievement),3.0
270003,Criminal Intelligence Analysis Diploma,Criminal Intelligence Diploma Endorsed by ABC Awards I Exam Included I MCQ based assessment I Tutor Support,https://www.reed.co.uk/courses/criminal-intelligence-analysis-diploma/270003#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,2,2 students purchased this course,22.0,300.0,no,missing,missing,yes,no,ABC Awards,Level 3 Diploma Criminal Intelligence Analysis (Certificate of Achievement),3.0
238035,Depression Counselling Diploma Level 3,Exam Included . CPD Accredited Qualification . Lifetime access . Immediate Result,https://www.reed.co.uk/courses/depression-counselling-diploma-level-3/238035#/courses/course-gate/p1834?pageno=2&sortby=MostPopular,Course Gate,60,60 students purchased this course,21.0,175.0,no,missing,missing,no,no,missing,missing,missing
