courseId,courseTitle,subTitle,courseLink,courseProvider,unitSold,soldOrEnq,offerPrice,originalPrice,haveCpd,cpdAccreditedBy,haveProfQual,isRegulated
246813,Risk Assessment Fully Accredited Course,Online course with tutor support and instant downloadable certificate,https://www.reed.co.uk/courses/risk-assessment-fully-accredited-course/246813#/courses/discount?pageno=4&sortby=MostPopular,Intellelearn,111,111 students purchased this course,18.0,30.0,yes,International Institute of Risk and Safety Management,yes,no
247447,Life Coaching,Life Coaching Advanced Level 5 Diploma Endorsed by ABC Awards | tutor Support is available throughout the course,https://www.reed.co.uk/courses/life-coaching/247447#/courses/discount?pageno=4&sortby=MostPopular,Brentwood Open learning College,196,196 students purchased this course,10.0,760.0,no,ABC Awards,yes,no
248251,Certificate in Copywriting - CPD Accredited,CPD Accredited Copywriting Course | Full Tutor Support | Instant Result | No hidden fees,https://www.reed.co.uk/courses/certificate-in-copywriting-cpd-accredited/248251#/courses/discount?pageno=4&sortby=MostPopular,One Education,150,150 students purchased this course,10.0,199.0,yes,CPD Accreditation Group,no,no
249341,Hair Extension Course - CPD Accredited,CPD endorsed Certification,https://www.reed.co.uk/courses/hair-extension-course-cpd-accredited/249341#/courses/discount?pageno=4&sortby=MostPopular,One Education,46,46 students purchased this course,12.0,199.0,yes,CPD Accreditation Group,no,no
192761,Project Management,Project Management (Level 7) Diploma Endorsed by ABC Awards Assignment Based Course,https://www.reed.co.uk/courses/project-management/192761#/courses/discount?pageno=4&sortby=MostPopular,Staff Training Solutions,46,46 students purchased this course,15.0,1050.0,no,ABC Awards,yes,no
197682,HR Management - Course,HR Management Level 5 | Endorsed by ABC Awards | CPD Accredited Certificate | 110 CPD Credits/Points,https://www.reed.co.uk/courses/hr-management-course/197682#/courses/discount?pageno=4&sortby=MostPopular,CPD Courses,102,102 students purchased this course,10.0,760.0,yes,ABC Awards,yes,no
216887,Dog Walking - CPD Certified ,Expert Animal Training | Internationally Accredited | Certificate Included | Lifetime Access | Ends Soon,https://www.reed.co.uk/courses/dog-walking-cpd-certified/216887#/courses/discount?pageno=4&sortby=MostPopular,Holly and Hugo,240,240 students purchased this course,10.0,99.0,yes,The CPD Certification Service,no,no
218395,Professional Waiter Diploma - CPD Certified ,Accredited Online Course | Recognised Certificate Included | Unlimited 24/7 Lifetime Access,https://www.reed.co.uk/courses/professional-waiter-diploma-cpd-certified/218395#/courses/discount?pageno=4&sortby=MostPopular,International Open Academy,90,90 students purchased this course,10.0,99.0,yes,The CPD Certification Service,no,no
266928,Counselling Skills,Counselling Skills Diploma (Level 5) is CPD Accredited Diploma with Quiz Based Exam included,https://www.reed.co.uk/courses/counselling-skills/266928#/courses/discount?pageno=4&sortby=MostPopular,UK Professional Development Academy LTD,22,22 students purchased this course,15.0,595.0,yes,Step Ahead CPD Qualifications,no,no
267774,Mental Health Counselling Training,"Enrol today and receive your online training, tutor support, PDF certificate and more ",https://www.reed.co.uk/courses/mental-health-counselling-training/267774#/courses/discount?pageno=4&sortby=MostPopular,Oplex Careers,17,17 students purchased this course,19.0,199.99,yes,The CPD Certification Service,no,no
267818,CompTIA A+ 2020 (1000 Series),Includes CompTIA A+: 220-1001 & CompTIA A+: 220-1002,https://www.reed.co.uk/courses/comptia-a-2020-1000-series/267818#/courses/discount?pageno=4&sortby=MostPopular,e-courses4you,15,15 students purchased this course,10.0,499.99,no,CompTIA,yes,no
