courseId,courseTitle,courseLink,courseProvider,unitSold,soldOrEnq,offerPrice,originalPrice,haveCpd,haveProfQual,isRegulated,awrBodyName,awrBodyQualName
267738,Digital Marketing,https://www.reed.co.uk/courses/digital-marketing/267738#/courses/discount?sortby=MostPopular,Inspire London College Ltd,85,85 students purchased this course,35.0,795.0,no,yes,no,Training Qualifications UK Ltd,Level 6 Diploma Digital Marketing (Endorsed Diploma)
202706,Recruitment Consultant,https://www.reed.co.uk/courses/recruitment-consultant/202706#/courses/discount?sortby=MostPopular,CPD Courses,432,432 students purchased this course,10.0,760.0,yes,yes,no,ABC Awards,Level 5 Diploma Recruitment Consultant (Certificate of achievement)
259675,Health and Safety,https://www.reed.co.uk/courses/health-and-safety/259675#/courses/discount?sortby=MostPopular,Inspire London College Ltd,277,277 students purchased this course,10.0,595.0,no,yes,no,Training Qualifications UK Ltd,Level 5 Diploma in Health and Safety at Work ( Endorsed Diploma)
77000,Pet First Aid and CPR - CPD Certified,https://www.reed.co.uk/courses/pet-first-aid-and-cpr-cpd-certified/77000#/courses/discount?sortby=MostPopular,Holly and Hugo,567,567 students purchased this course,10.0,119.0,yes,no,no,missing,missing
131479,Level 3 Award in Education and Training - BTEC AET (Formerly PTLLS),https://www.reed.co.uk/courses/level-3-award-in-education-and-training-btec-aet-formerly-ptlls/131479#/courses/discount?sortby=MostPopular,1 Training,728,728 students purchased this course,10.0,299.0,no,yes,yes,Pearson Education Ltd,Level 3 Award in Education and Training (QCF)
264599,Building Surveyor Training - CPD Accredited,https://www.reed.co.uk/courses/building-surveyor-training-cpd-accredited/264599#/courses/discount?sortby=MostPopular,One Education,207,207 students purchased this course,14.0,199.0,yes,no,no,missing,missing
238940,Advanced Diploma in Health and Safety,https://www.reed.co.uk/courses/advanced-diploma-in-health-and-safety/238940#/courses/discount?sortby=MostPopular,Course Gate,620,620 students purchased this course,10.0,175.0,yes,no,no,missing,missing
247336,Cyber Security - Diploma,https://www.reed.co.uk/courses/cyber-security-diploma/247336#/courses/discount?sortby=MostPopular,Oxford Home Study College,224,224 students purchased this course,10.0,740.0,no,yes,no,ABC Awards,Level 5 Diploma Cyber Security (Certificate of Achievement)
239173,HR and Payroll Administrator Course - CPD Accredited,https://www.reed.co.uk/courses/hr-and-payroll-administrator-course-cpd-accredited/239173#/courses/discount?sortby=MostPopular,One Education,745,745 students purchased this course,10.0,199.0,yes,no,no,missing,missing
78731,Criminology and Profiling Course - CPD Certified,https://www.reed.co.uk/courses/criminology-and-profiling-course-cpd-certified/78731#/courses/discount?sortby=MostPopular,International Open Academy,769,769 students purchased this course,10.0,119.0,yes,no,no,missing,missing
